NO;BUYER;CONTRACT NO;LOT;PO NO / L/C NO;BOOKING NO;B/L NO;COMMODITY;QTY;VOL;POL;POD;INCOTERMS;PAYMENT TERM; UNIT PRICE ; AMOUNT ; DISCOUNT AMOUNT ;BANK;"NGÀY TRÌNH
BTC";"DISCOUNT DATE
NGÀY CHI?T KH?U";ETD;DHL NO;PAYMENT DATE;Updating;31-Thg12;;;;;;;;;;;
48;ATC;LTC2024/PD-ATC-EOU/SEPT;3;5200006097;SUDUDAICTCAA0010;SUDUDAICTCAA0010;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.750,38 ; 176.438,30 ; 158.794,47 ;TP;22/11/2025;11/11/2025;19/11/2025;22 8205 1376;13/12/2025;;;;;;;;;;;;;
49;JK;LTC2025/PD-JK/SEP/Cl;4;4100013084;041FX05009 ;VSE251729;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.688,43 ; 170.193,74 ; 153.174,37 ;TP;19/11/2025;05/11/2025;17/11/2025; 40 8679 5042;29/11/2025;;;;;;;;;;;;;
50;JK;LTC2025/PD-JK/SEP/Cl;2;4100013084;DADF10537300;AP-25EX0908;SVR10;120,96;6;DAD;CHENNAI;FOB;DP; 1.688,43 ; 204.232,49 ; 183.809,24 ;TP;22/11/2025;14/11/2025;19/11/2025;1660432034;17/12/2025;;;;;;;;;;;;;
51;ATC;LTC2024/PD-ATC-AP/AU;2;5200005991;041FX05721 ;CIMC2511046;SVR10;201,6;10;DAD;CHENNAI;FOB;DP; 1.647,65 ; 332.166,24 ; 298.949,62 ;TP;26/11/2025;18/11/2025;24/11/2025;75 0959 6452;11/12/2025;;;;;;;;;;;;;
52;GRI;04/PD-GRI/2025;-;OB6094LC2514372;041FX05824;041FX05824;SVR10 CV65;42;2;DAD;COLOMBO;CIF;LC 90 ngày; 1.890,00 ; 79.380,00 ; 71.442,00 ;VIETTIN;26/11/2025;28/11/2025;24/11/2025;22 8199 8305;23/02/2026;;;;;;;;;;;;;
53;JK;LTC2025/PD-JK/OCT;2;4100013146;041FX05493;VSE251894;SVR10;120,96;6;DAD;CHENNAI;FOB;DP; 1.726,32 ; 208.815,67 ; 187.934,10 ;EXIM;25/11/2025;24/11/2025;24/11/2025;66 1775 9621 ;12/12/2025;;;;;;;;;;;;;
54;ATC;LTC2024/PD-ATC-EOU/SEPT;5;5200006097;SUDUDAGTICAA0023;SEJ131425;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.750,38 ; 176.438,30 ; 158.794,47 ;TP;08/12/2025;05/12/2025;05/12/2025;7443510642 ;29/12/2025;;;;;;;;;;;;;
55;ATC;LTC2024/PD-ATC-EOU/SEPT;4;5200006097;SUDUDAGTICAA0024;VWFE25110053;SVR10;100,8;5;DAD;NHAVA;FOB;DP; 1.750,38 ; 176.438,30 ; 158.794,47 ;BIDV;08/12/2025;05/12/2025;05/12/2025;5232766022;18/12/2025;;;;;;;;;;;;;
56;PT AYUMAS;03/PD-PAA/2025;-;-;SGNFBQ454800;SGNFBQ454800;SVR3L;21;1;HCM;BELAWAN;CIF;TT 10-90; 1.870,00 ; 39.270,00 ; - ;AGRI;08/12/2025;-;07/12/2025;53 5025 6111;12/12/2025;;;;;;;;;;;;;
57;INDO;13/PD-AIC/2025;-;-;BSGNC25046086;SGNCB25046086;SVR3L;21;1;HCM;SURABAYA;CIF;TT; 1.868,00 ; 39.228,00 ; - ;AGRI;-;-;01/12/2025;95 5814 6614;12/12/2025;;;;;;;;;;;;;
58;INDO;14/PD-AIC/2025;-;-;SGN25K02042;NSSLHCIKC2500759;SVR3L;42;2;HCM;JAKARTA;CIF;TT; 1.868,00 ; 78.456,00 ; - ;AGRI;-;-;30/11/2025;52 6689 7414;05/12/2025;;;;;;;;;;;;;
59;INDO;12B/PD-AIC/2025;-;-;BSGNC25046089;BSGNC25046089;SVR3L;21;1;HCM;JAKARTA;CIF;TT; 1.868,00 ; 39.228,00 ; - ;AGRI;-;-;29/11/2025;52 6689 7414;05/12/2025;;;;;;;;;;;;;
60;JK;LTC2025/PD-JK/OCT;3;4100013147;041FX05494 ;VSE251895;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.726,32 ; 174.013,06 ; 156.611,75 ;EXIM;10/12/2025;03/12/2025;08/12/2025; 77 2298 6670;09/01/2026;;;;;;;;;;;;;
61;ATC;LTC2024/PD-ATC-EOU/SEPT;7;5200006097;SUDUDAGTICAA0026 ;TM225120197N;SVR10;120,96;6;DAD;NHAVA;FOB;DP; 1.750,38 ; 211.725,96 ; 190.553,37 ;TP;11/12/2025;02/12/2025;07/12/2025; 67 9168 3076;29/12/2025;;;;;;;;;;;;;
62;JK;LTC2025/PD-JK/OCT;4;4100013147;041FX05635 ;VSE251896;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.726,32 ; 174.013,06 ; 156.611,75 ;TP;10/12/2025;08/12/2025;08/12/2025; 77 2298 6670;09/01/2026;;;;;;;;;;;;;
